,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
101,Isangel,75,VU,1570317559,69,-19.55,169.27,299.15,2.6
102,Dubrovnik,0,HR,1570318016,67,42.65,18.09,288.15,4.1
103,Ternovka,100,RU,1570318017,94,51.69,41.59,286.053,5.55
104,Changji,100,CN,1570318018,71,32.07,116.17,289.293,4.12
105,Itarema,30,BR,1570318020,71,-2.92,-39.92,298.063,5.04
106,Tiksi,95,RU,1570318021,80,71.64,128.87,266.153,2.259
107,Codrington,67,AU,1570318022,60,-28.95,153.24,295.93,2.6
108,Baymak,62,RU,1570318023,46,52.6,58.31,277.253,1.87
109,Maceio,40,BR,1570317982,83,-9.67,-35.74,296.15,5.1
110,Khandyga,0,RU,1570317221,53,62.65,135.58,267.043,2.88
111,Bagdarin,50,RU,1570318027,58,54.44,113.59,273.223,5.91
112,Kathu,0,ZA,1570318029,31,-27.7,23.05,292.59,3.79
113,Provideniya,100,RU,1570318030,79,64.42,-173.23,274.123,4.086
114,Georgetown,40,GY,1570317888,78,6.8,-58.16,301.15,3.1
115,Ilheus,40,BR,1570317748,78,-14.79,-39.05,299.15,4.6
116,Medicine Hat,40,CA,1570318034,35,50.04,-110.68,287.15,6.2
117,Qaanaaq,100,GL,1570318036,72,77.48,-69.36,268.123,2.02
118,Sitka,0,US,1570318037,40,37.17,-99.65,294.82,4.92
119,Bondo,84,CD,1570318038,98,3.81,23.69,293.593,0.41
120,Sao Filipe,8,CV,1570318040,81,14.9,-24.5,298.523,5.56
121,Prince Rupert,1,CA,1570318041,81,54.32,-130.32,285.15,2.6
122,Kankakee,90,US,1570318043,72,41.12,-87.86,290.37,6.1
123,Ponta Delgada,75,PT,1570318044,100,37.73,-25.67,297.04,3.6
124,Nautla,9,MX,1570318045,72,20.22,-96.78,301.243,4.29
125,Khatanga,0,RU,1570318047,89,71.98,102.47,264.873,3.12
126,Lagoa,0,PT,1570318018,68,37.14,-8.45,292.15,3.6
127,Price,1,US,1570318050,9,39.6,-110.81,291.15,2.6
128,Butaritari,37,KI,1570318051,63,3.07,172.79,302.613,2.22
129,Bilma,0,NE,1570318052,15,18.69,12.92,304.803,3.848
130,Riyadh,0,SA,1570317657,32,24.63,46.72,301.15,1.5
131,Buala,4,SB,1570318055,68,-8.15,159.59,302.063,1.57
132,Tuktoyaktuk,90,CA,1570318056,93,69.44,-133.03,275.15,9.8
133,Ridgetown,1,CA,1570318058,76,42.44,-81.88,287.59,4.6
134,San Patricio,100,PY,1570318059,96,-26.98,-56.83,288.773,3.17
135,Milkovo,75,BG,1570317603,87,41.53,24.68,289.82,2.1
136,Fairbanks,90,US,1570317513,86,64.84,-147.72,274.15,4.1
137,Tokur,37,RU,1570318063,59,53.13,132.9,276.503,1.048
138,Souillac,90,FR,1570318064,87,45.6,-0.6,290.37,0.5
139,Kaitangata,84,NZ,1570318065,56,-46.28,169.85,285.37,4.02
140,Mitsamiouli,0,KM,1570318067,81,-11.38,43.28,298.963,0.64
141,Fayaoue,87,NC,1570318068,79,-20.65,166.53,295.543,6.09
142,Tual,19,ID,1570318069,81,-5.67,132.75,299.493,8.09
143,Kozhva,80,RU,1570318071,89,65.11,57.05,272.433,3.0
144,Saint-Augustin,20,CA,1570318072,70,45.63,-73.98,283.15,2.1
145,Pulandian,0,CN,1570318073,61,39.4,121.96,282.15,1.0
146,Saint-Francois,96,FR,1570317629,94,46.42,3.91,285.37,1.51
147,Biharamulo,65,TZ,1570318077,88,-2.64,31.31,290.483,0.51
148,Abu Dhabi,0,AE,1570317812,66,24.47,54.37,303.15,1.5
149,Fort Nelson,75,CA,1570317679,41,58.81,-122.69,287.15,7.2
150,Laguna,75,BZ,1570318080,74,16.17,-88.94,302.15,2.1
151,Canutama,44,BR,1570318082,66,-6.53,-64.38,298.413,1.01
152,Port Alfred,0,ZA,1570318083,94,-33.59,26.89,288.71,2.154
153,Paita,0,PE,1570318084,290,-5.09,-81.11,290.15,8.7
154,Ondjiva,2,AO,1570318086,41,-17.07,15.73,294.463,1.9
155,Acari,42,BR,1570318087,68,-6.44,-36.64,297.093,11.2
156,Vostok,0,RU,1570318089,45,46.45,135.83,279.473,2.231
157,Pisco,40,PE,1570318090,30,-13.71,-76.2,295.15,7.2
158,Rawson,84,AR,1570317586,35,-43.3,-65.11,285.963,4.35
159,Leningradskiy,100,RU,1570318093,96,69.38,178.42,274.773,14.135
160,Portland,20,US,1570317591,66,43.66,-70.25,284.15,3.1
161,Manokwari,96,ID,1570318096,69,-0.87,134.08,299.373,1.21
162,Imeni Zhelyabova,12,RU,1570318097,96,58.95,36.6,271.773,1.44
163,Saint George,20,GR,1570318098,76,39.45,22.34,291.15,2.1
164,Port Saint Lucie,40,US,1570318100,69,27.29,-80.35,301.48,6.2
165,Boa Vista,0,BR,1570317679,58,2.82,-60.67,303.15,2.6
166,Mehamn,100,NO,1570318102,78,71.03,27.85,277.863,7.81
167,Grindavik,20,IS,1570318104,93,63.84,-22.43,282.15,5.1
168,Kikwit,49,CD,1570318105,91,-5.04,18.82,295.353,1.01
169,Jimma,100,ET,1570318106,99,7.67,36.84,287.193,0.87
170,Poykovskiy,0,RU,1570318108,87,61.23,73.33,284.15,4.0
171,Santo Antonio do Ica,86,BR,1570318109,73,-3.1,-67.94,299.293,0.82
172,Samarai,94,PG,1570318110,92,-10.62,150.67,298.543,3.35
173,Kichera,80,RU,1570318112,76,55.93,110.1,270.273,1.59
174,Coihaique,75,CL,1570317563,57,-45.58,-72.07,282.15,1.5
175,Tivoli,20,IT,1570318115,72,41.96,12.8,291.15,2.1
176,Menfi,20,IT,1570318116,73,37.61,12.97,296.48,8.2
177,Canterbury,52,GB,1570318024,93,51.28,1.08,287.15,4.6
178,Upernavik,100,GL,1570318119,98,72.79,-56.15,273.693,2.61
179,Puerto del Rosario,75,ES,1570318120,78,28.5,-13.86,296.15,9.8
180,Lingyuan,100,CN,1570318122,36,41.24,119.4,283.003,2.18
181,Martapura,34,ID,1570318123,73,-3.41,114.85,300.303,2.56
182,Sept-Iles,20,CA,1570318125,52,50.2,-66.38,281.48,4.1
183,Valkeakoski,0,FI,1570318126,92,61.26,24.03,272.59,2.12
184,Hamilton,75,CA,1570317629,87,43.26,-79.87,286.48,5.7
185,Octeville,75,FR,1570318129,93,49.63,-1.64,288.71,3.6
186,Kununurra,1,AU,1570318130,65,-15.77,128.74,300.15,2.1
187,Mareeba,90,AU,1570317700,53,-16.99,145.42,298.71,7.7
188,Saint-Philippe,1,CA,1570318132,61,45.36,-73.48,283.15,1.5
189,Pundaguitan,55,PH,1570318134,69,6.37,126.17,301.473,2.57
190,Karratha,0,AU,1570318135,10,-20.74,116.85,307.113,5.03
191,Yanam,83,IN,1570318137,94,16.73,82.22,297.313,1.9
192,Bathsheba,20,BB,1570318138,78,13.22,-59.52,301.15,5.1
193,Coahuayana,12,MX,1570318139,82,18.62,-100.35,298.653,0.75
194,Kavieng,14,PG,1570318141,68,-2.57,150.8,301.993,2.69
195,Peniche,20,PT,1570318142,77,39.36,-9.38,290.15,5.7
196,Salinopolis,2,BR,1570318143,79,-0.61,-47.36,300.703,6.95
197,Sakskobing,33,DK,1570318145,93,54.8,11.63,280.37,0.45
198,Sao Joao da Barra,0,BR,1570318146,82,-21.64,-41.05,294.323,0.78
199,Shimoda,75,JP,1570317562,83,34.7,138.93,299.26,5.7
200,Kargasok,89,RU,1570317915,97,59.06,80.87,281.193,2.48
201,Meulaboh,54,ID,1570317556,85,4.14,96.13,298.493,4.27
202,Vagur,100,FO,1570318151,83,61.47,-6.81,283.323,16.15
203,Puro,14,PH,1570318152,75,13.13,123.76,300.913,3.432
204,Te Anau,44,NZ,1570318154,71,-45.41,167.72,279.963,0.95
205,Kayes,31,ML,1570318155,53,14.44,-11.44,302.923,3.52
206,Vardo,90,US,1570318156,59,39.62,-77.74,289.82,3.1
207,Tsuruga,89,JP,1570318158,81,35.64,136.07,295.37,3.1
208,Moron,100,HT,1570317584,81,18.56,-74.26,300.123,3.73
209,Aklavik,40,CA,1570318160,41,68.22,-135.01,278.15,4.1
210,Comodoro Rivadavia,0,AR,1570317614,54,-45.87,-67.48,287.15,1.5
211,Inhambane,0,MZ,1570318163,95,-23.87,35.38,290.833,1.68
212,Caravelas,0,BR,1570318164,81,-17.73,-39.27,296.643,5.1
213,Tiarei,20,PF,1570318166,74,-17.53,-149.33,301.15,7.7
214,Roebourne,0,AU,1570317682,10,-20.77,117.15,306.743,7.136
215,Porto Novo,0,BR,1570318168,50,-23.68,-45.44,299.15,4.6
216,Saskylakh,60,RU,1570318169,92,71.97,114.09,262.973,1.5
217,Bella Vista,64,AR,1570318171,45,-27.03,-65.31,293.15,2.1
218,Olinda,67,AU,1570318172,43,-37.84,145.39,298.71,9.8
219,Bonavista,98,CA,1570317627,80,48.65,-53.11,277.59,6.26
220,Waipawa,78,NZ,1570318175,66,-39.94,176.59,284.26,2.68
221,La Ronge,90,CA,1570318176,93,55.1,-105.3,281.15,4.6
222,Punta de Piedra,100,VE,1570318177,87,7.62,-71.49,297.403,1.15
223,Nanortalik,68,GL,1570318179,80,60.14,-45.24,278.333,1.81
224,Ayan,27,IR,1570318180,46,38.23,44.7,281.563,2.33
225,Pangnirtung,20,CA,1570317586,50,66.15,-65.72,271.15,6.7
226,Zhezkazgan,0,KZ,1570318183,29,47.8,67.71,281.713,3.44
227,Labytnangi,100,RU,1570318184,99,66.66,66.39,274.963,5.001
228,Constitucion,75,MX,1570317535,29,23.99,-104.67,298.71,4.6
229,San Cristobal,77,HN,1570318187,87,14.68,-86.92,295.013,1.843
230,Natchitoches,1,US,1570318189,46,31.76,-93.09,306.15,1.03
231,Inza,100,RU,1570318190,95,53.86,46.36,281.893,3.62
232,Yulara,0,AU,1570317618,17,-25.24,130.99,301.15,3.6
233,Emba,75,CY,1570318192,69,34.81,32.42,298.15,6.2
234,Korsakov,0,RU,1570318194,93,46.63,142.78,278.15,6.006
235,Tikaitnagar,47,IN,1570317989,64,26.95,81.58,295.773,0.77
236,Port Keats,11,AU,1570318196,61,-14.25,129.55,302.123,3.71
237,Iwaki,75,JP,1570318198,100,37.05,140.89,291.48,3.1
238,Alghero,0,IT,1570318199,68,40.56,8.32,294.15,2.6
239,Zhigansk,100,RU,1570318200,72,66.77,123.37,271.363,7.994
240,Pilar do Sul,24,BR,1570318202,92,-23.81,-47.72,290.303,5.79
241,Waslala,86,NI,1570318203,92,13.33,-85.37,295.433,0.66
242,Gat,97,SN,1570318205,88,14.69,-16.54,301.15,7.0
243,Barkhan,100,PK,1570318206,69,29.9,69.52,289.003,4.41
244,Cabra,53,ES,1570318207,59,37.47,-4.43,293.71,1.0
245,Wahiawa,20,US,1570318209,66,21.5,-158.02,304.15,5.7
246,Sao Gabriel da Cachoeira,72,BR,1570318210,92,-0.13,-67.09,296.583,0.36
247,Namatanai,19,PG,1570317983,78,-3.66,152.44,300.323,4.02
248,Bose,0,IT,1570317620,76,45.46,8.01,287.04,1.5
249,Atambua,0,ID,1570318214,70,-9.11,124.89,298.443,3.12
250,Yeppoon,75,AU,1570318216,53,-23.13,150.74,298.15,1.5
251,Haines Junction,95,CA,1570318217,85,60.75,-137.51,273.653,1.84
252,Santa Rita,40,BR,1570318218,88,-7.13,-34.98,297.15,3.1
253,Itaituba,97,BR,1570318219,97,-4.26,-55.99,295.843,0.95
254,Sovetskiy,83,RU,1570318221,92,56.76,48.47,276.243,2.15
255,Coquimbo,0,CL,1570318222,71,-29.95,-71.34,287.15,5.7
256,Lagos,100,NG,1570317660,94,6.46,3.39,296.863,1.89
257,Puerto Leguizamo,44,CO,1570318225,69,-0.19,-74.78,299.063,0.62
258,Fraserburgh,100,GB,1570318226,93,57.69,-2.02,284.15,6.2
259,Sabzevar,0,IR,1570318228,40,36.21,57.68,280.073,3.16
260,Rocha,92,UY,1570318229,94,-34.48,-54.34,280.733,1.29
261,Road Town,20,VG,1570318224,79,18.42,-64.62,302.15,1.5
262,Cabo San Lucas,20,MX,1570317476,55,22.89,-109.91,304.26,2.1
263,Kijang,40,KR,1570318233,63,35.24,129.21,291.15,5.1
264,Vaitape,12,PF,1570318234,72,-16.52,-151.75,299.753,4.37
265,Hami,0,CN,1570317646,34,42.84,93.51,283.473,1.62
266,Airai,1,TL,1570318237,32,-8.93,125.41,297.963,2.846
267,Klaksvik,93,FO,1570317701,81,62.23,-6.59,283.15,14.9
268,Broome,54,GB,1570317640,81,52.47,1.45,286.48,2.6
269,Hayden,75,US,1570318240,44,47.77,-116.79,287.59,5.1
270,Batagay-Alyta,100,RU,1570318242,41,67.8,130.41,263.173,0.827
271,Calabozo,83,VE,1570318243,85,8.92,-67.43,298.493,1.74
272,Tibiri,93,NE,1570318245,58,13.57,7.05,300.183,4.28
273,Nouadhibou,0,MR,1570318246,88,20.93,-17.03,293.15,7.2
274,Havre-Saint-Pierre,20,CA,1570317570,45,50.23,-63.6,281.15,3.6
275,Mount Isa,35,AU,1570318248,13,-20.73,139.49,300.15,6.7
276,Campbell River,20,CA,1570318126,54,50.02,-125.24,288.15,2.1
277,Goulburn,100,AU,1570318252,63,-34.75,149.72,293.15,6.649
278,Miandrivazo,51,MG,1570318253,61,-19.53,45.46,297.003,1.66
279,Lerwick,35,GB,1570318087,76,60.15,-1.15,283.15,11.8
280,Namibe,51,AO,1570318255,82,-15.19,12.15,292.453,6.24
281,Apache Junction,1,US,1570318257,21,33.41,-111.55,308.15,2.1
282,Zemio,100,CF,1570318258,96,5.02,25.13,294.083,0.89
283,Victoria,75,BN,1570318260,78,5.28,115.24,301.15,2.6
284,Cayenne,0,GF,1570318261,94,4.94,-52.33,298.15,2.43
285,Orchard Homes,90,US,1570318262,50,46.86,-114.05,285.15,5.1
286,Calbe,40,DE,1570318264,93,51.9,11.78,280.37,1.5
287,Beloha,0,MG,1570318265,62,-25.17,45.06,296.833,5.6
288,Los Llanos de Aridane,40,ES,1570318266,78,28.66,-17.92,296.15,7.7
289,Ancud,90,CL,1570318268,76,-41.87,-73.83,282.15,4.1
290,Palmares do Sul,100,BR,1570318269,96,-30.26,-50.51,289.82,3.126
291,Porosozero,11,RU,1570318270,96,62.72,32.71,268.103,1.77
292,Chifeng,100,CN,1570318272,38,42.27,118.96,280.993,2.19
293,Miri,96,NG,1570318273,88,10.31,9.75,294.203,1.37
294,Kraluv Dvur,90,CZ,1570318275,100,49.95,14.03,280.93,3.1
295,Lompoc,1,US,1570318277,38,34.64,-120.46,298.71,5.1
296,Mujiayingzi,100,CN,1570318278,47,42.12,118.78,279.893,2.45
297,Vigrestad,0,NO,1570318280,69,58.57,5.7,280.37,3.6
298,Chinsali,0,ZM,1570318281,69,-10.55,32.07,292.043,2.93
299,Caledon East,75,CA,1570318190,71,43.87,-79.87,286.48,5.1
300,Severo-Kurilsk,100,RU,1570318283,93,50.68,156.12,279.153,13.09
301,Tsaratanana,34,MG,1570318285,75,-16.8,47.65,292.503,4.87
302,Libreville,40,GA,1570318287,83,0.39,9.45,300.15,3.6
303,Bar Harbor,1,US,1570318250,75,44.39,-68.2,281.48,1.2
304,Kodiak,1,US,1570318290,46,39.95,-94.76,294.15,5.7
305,Mbanza-Ngungu,98,CD,1570318292,73,-5.25,14.87,298.823,2.26
306,Bowen,23,AU,1570318293,57,-20.01,148.25,299.82,3.6
307,Ilhabela,0,BR,1570318221,85,-23.78,-45.36,295.923,1.52
308,Kamenka,16,MD,1570318297,91,48.03,28.7,275.93,1.24
309,Sisimiut,100,GL,1570318072,96,66.94,-53.67,274.083,13.53
310,Norman Wells,75,CA,1570318299,81,65.28,-126.83,279.15,3.1
311,Chara,20,GR,1570318301,76,39.42,22.43,291.15,2.1
312,Golden,1,US,1570318302,25,39.76,-105.22,293.15,1.5
313,Luena,78,AO,1570318304,85,-11.78,19.91,289.353,0.18
314,Beziers,0,FR,1570318305,67,43.35,3.22,290.37,3.6
315,Mount Gambier,90,AU,1570318307,93,-37.83,140.78,287.15,7.7
316,Avera,90,US,1570318308,69,33.19,-82.53,299.15,4.1
317,Tuim,75,RU,1570318310,88,54.34,89.93,279.613,2.577
318,Okhotsk,1,RU,1570318311,46,59.36,143.24,271.573,6.53
319,Okha,99,RU,1570318312,64,53.59,142.95,279.263,4.26
320,Ust-Kuyga,100,RU,1570318314,81,70.0,135.55,265.983,2.07
321,Tarragona,90,ES,1570318316,88,41.12,1.25,294.15,2.1
322,Hay River,75,CA,1570318317,81,60.82,-115.79,282.15,2.6
323,Hilo,1,US,1570318319,55,19.71,-155.08,304.15,4.1
324,Tazovskiy,100,RU,1570318320,87,67.47,78.7,274.233,5.84
325,Sur,45,OM,1570318321,55,22.57,59.53,300.703,7.83
326,Bilibino,73,RU,1570318323,93,68.06,166.44,262.323,2.82
327,Richards Bay,2,ZA,1570318324,88,-28.77,32.06,294.253,9.72
328,Saquarema,0,BR,1570318325,69,-22.93,-42.51,300.15,2.1
329,Madingou,66,CG,1570318327,81,-4.17,13.56,297.923,1.4
330,Torbay,40,CA,1570318329,86,47.66,-52.73,278.15,5.7
331,Kavaratti,76,IN,1570318330,67,10.57,72.64,300.743,0.39
332,Chapais,1,CA,1570318332,86,49.78,-74.86,277.15,1.0
333,Boquira,75,BR,1570318333,44,-12.82,-42.73,298.873,3.23
334,Male,100,UA,1570318335,86,50.74,33.7,280.823,5.29
335,Fortuna,20,US,1570318336,52,40.6,-124.16,294.26,6.2
336,Plouzane,63,FR,1570318338,93,48.38,-4.62,289.15,6.7
337,Adrar,0,DZ,1570318339,20,27.87,-0.29,297.15,6.7
338,Galle,100,GN,1570318340,96,10.08,-12.83,294.763,0.49
339,Bourail,73,NC,1570318342,47,-21.57,165.5,298.813,0.33
340,Berlevag,100,NO,1570318343,86,70.86,29.09,278.663,7.66
341,Lagunas,77,PE,1570318345,63,-5.23,-75.68,300.523,0.87
342,Colac,71,AU,1570318346,84,-38.34,143.59,292.04,6.26
343,Russell,1,US,1570318076,37,38.9,-98.86,293.71,3.1
344,Dvorichna,100,UA,1570318349,94,49.85,37.68,284.133,4.65
345,Srednekolymsk,10,RU,1570318350,75,67.46,153.71,267.483,1.76
346,Ulladulla,100,AU,1570318352,82,-35.36,150.48,290.37,3.1
347,Rumphi,16,MW,1570318353,79,-11.02,33.86,290.513,1.93
348,Chokurdakh,99,RU,1570318354,84,70.62,147.9,266.623,5.33
349,Mayumba,97,GA,1570318356,89,-3.44,10.65,297.953,5.18
350,Baraboo,90,US,1570318357,100,43.47,-89.74,286.15,5.1
351,Cabinda,75,AO,1570318359,88,-5.56,12.19,298.183,8.02
352,Soure,37,PT,1570318360,93,40.06,-8.63,288.71,1.5
353,Ushumun,59,RU,1570318362,66,52.78,126.54,278.273,2.79
354,San Pedro,0,AR,1570318363,63,-33.68,-59.66,284.82,1.43
355,Mabaruma,100,GY,1570318365,96,8.2,-59.78,296.873,1.15
356,Mersing,16,MY,1570318366,87,2.43,103.84,297.453,0.64
357,Babati,100,TZ,1570318367,96,-4.21,35.75,286.013,3.9
358,Kortkeros,53,RU,1570318369,100,61.81,51.56,272.15,3.0
359,Nicoya,75,CR,1570318321,94,10.15,-85.45,298.15,1.0
360,Podgornoye,91,RU,1570318372,98,57.79,82.64,281.383,1.876
361,Shumskiy,100,RU,1570318373,96,54.83,99.13,276.663,2.324
362,Fukue,20,JP,1570318374,64,35.03,136.69,297.15,9.8
363,Bara,89,NG,1570318376,86,10.41,10.6,295.803,1.68
364,Escarcega,93,MX,1570318377,96,18.61,-90.75,297.863,1.311
365,Terney,0,RU,1570318378,45,45.05,136.61,281.863,1.95
366,Oistins,20,BB,1570318143,78,13.07,-59.53,301.15,5.1
367,Wanning,75,AT,1570318381,87,48.64,13.53,280.37,2.6
368,Shima,20,JP,1570318382,64,34.34,136.82,297.15,9.8
369,Huari,81,PE,1570318384,78,-9.35,-77.17,280.373,1.721
370,Chulucanas,74,PE,1570318385,71,-5.1,-80.16,290.553,1.812
371,Ardmore,90,US,1570318147,58,34.99,-86.85,306.15,8.7
372,Solnechnyy,54,RU,1570318388,47,50.72,136.64,281.693,1.19
373,Biak,38,ID,1570318390,79,-0.91,122.88,299.693,5.701
374,Axim,72,GH,1570318391,97,4.87,-2.24,296.173,1.349
